id,node_id,position
4387940,21754337,0
4387940,1886433154,1
4387940,1014137906,2
4387940,1014137951,3
4387940,1886433106,4
4387940,1886433094,5
4387940,1014137915,6
23178132,250637250,0
23178132,1501595263,1
23178132,1501595278,2
23178132,1501595122,3
23178132,1501595123,4
23178132,1501595153,5
23178132,1501595169,6
23178132,1501595024,7
26374076,1507935579,0
26374076,1507935525,1
26374076,1507935611,2
26374076,1507935577,3
26374076,1507935597,4
26374076,1507935412,5
26374076,1507935566,6
26374076,1507935572,7
26374076,1507935537,8
26374076,288944036,9
26374076,288944037,10
26374076,288944042,11
32143491,360855943,0
32143491,1116380374,1
32143491,360855945,2
32143491,360976615,3
37372457,434339782,0
37372457,1624582809,1
37372457,1624582800,2
37372457,31086345,3
55546790,698093387,0
55546790,4040496403,1
55546790,698093542,2
55546790,745791146,3
55546790,698093543,4
55546790,908380725,5
55546790,698093544,6
55546790,745792171,7
55546790,698093545,8
55546790,698093546,9
69414312,831387497,0
69414312,831387442,1
69414312,831387686,2
69414312,831387476,3
69414312,831387747,4
69414312,831387446,5
69414312,831387690,6
69414312,831387483,7
69414312,831387752,8
69414312,1116035122,9
69414312,1116035288,10
69414312,1116035104,11
69414312,1116035194,12
69414312,1116035306,13
91804261,1066793107,0
91804261,1066793171,1
91804261,1066793082,2
91804261,1066793467,3
91804261,1066793107,4
94998983,1102377889,0
94998983,1102377841,1
94998983,1102377771,2
94998983,1102378210,3
94998983,1102377889,4
96391543,1117047310,0
96391543,1117046912,1
96391543,1117047279,2
96391543,1117047288,3
96391543,1117047310,4
98213028,1136167109,0
98213028,1136167404,1
98213028,1136167230,2
98213028,1136167206,3
98213028,1136167204,4
98213028,1136167076,5
98213028,1136167374,6
98213028,1136166702,7
98213028,1136167109,8
101326977,1169820029,0
101326977,1169820049,1
103447999,1194468056,0
103447999,1194468130,1
103447999,1194468046,2
103447999,1194468053,3
103447999,1194468569,4
103447999,1194468020,5
103447999,1194468550,6
103447999,1194468565,7
103447999,1194468223,8
103447999,1194467973,9
103447999,1194468049,10
103447999,1194468462,11
103447999,1194468045,12
103447999,1194468035,13
103447999,1194468036,14
103447999,1194468261,15
103447999,1194468056,16
105066460,1211111439,0
105066460,1211111435,1
105066460,1211111474,2
105066460,1211111384,3
105066460,1211111465,4
105066460,1211111439,5
106446042,1224601786,0
106446042,1224602666,1
106446042,1224602108,2
106446042,1224602136,3
106446042,1224601786,4
108257684,1242395696,0
108257684,1242395366,1
108257684,1242395011,2
108257684,1242395577,3
108257684,1242395696,4
110444963,1261214621,0
110444963,1261214812,1
110444963,1261214647,2
110444963,1261214611,3
110444963,1261214621,4
112514306,1278615300,0
112514306,1278615315,1
112514306,1278615318,2
115393367,1303940136,0
115393367,1303939712,1
115393367,1303940005,2
115393367,1303940059,3
115393367,1303940136,4
117361543,1321841912,0
117361543,1321841267,1
117361543,1321841892,2
117361543,1321841218,3
117361543,1321841912,4
118335495,1330932580,0
118335495,1330932544,1
118335495,1330932407,2
118335495,1330932422,3
118335495,1330932339,4
118335495,1330932313,5
118335495,1330932580,6
120445818,1350491531,0
120445818,1350491250,1
120445818,1350491496,2
120445818,1350491522,3
120445818,1350491531,4
122028466,1364543016,0
122028466,1364543025,1
122028466,1364543007,2
122028466,1364543064,3
122028466,1364543029,4
122028466,1364543063,5
122028466,1364543052,6
122028466,1364543056,7
122028466,1364543003,8
122028466,1364542984,9
122028466,1364542977,10
122028466,1364543027,11
122028466,1364543013,12
122028466,1364543018,13
122028466,1364543020,14
122028466,1364542957,15
122028466,1364542966,16
122028466,1364543030,17
122028466,1364543041,18
122028466,1364543053,19
122028466,1364543016,20
123413489,1376348198,0
123413489,1376348326,1
123413489,1376348124,2
123413489,1376348483,3
123413489,1376348198,4
125101256,1390246206,0
125101256,1390246278,1
125101256,1390246259,2
125101256,1390246261,3
125101256,1390246206,4
127519130,1411187973,0
127519130,1411188179,1
127519130,1411188690,2
129586659,1429442667,0
129586659,1429442701,1
129586659,1429442738,2
129586659,1429442673,3
129586659,1429442667,4
132472976,1457259829,0
132472976,1457259180,1
132472976,1457259398,2
132472976,1457259190,3
132472976,1457259829,4
134964670,1482845704,0
134964670,1482845697,1
134964670,1482845884,2
134964670,1482845785,3
134964670,1482845704,4
136548753,1497880896,0
136548753,1497880915,1
136548753,1497880917,2
136548753,1497880884,3
136548753,1497880896,4
137331410,1506496495,0
137331410,1506496652,1
137331410,1506496543,2
137331410,1506496548,3
137331410,1506496654,4
137331410,1506496495,5
